"ID","user story ID","description"
"x1","1","A social media collection must have a name, a description, API credentials and a harvesting schedule."
"x2","2","Seeds must be connected to at least one collection."
"x3","7","A collection must be represented as EDM cultural heritage object (edm:ProvidedCHO)."
"x4","7","A collection must be represented as PREMIS intellectual entity (premis:IntellectualEntity)."
"x5","7","A collection must have at least one EDM representation (edm:WebResource)."
"x6","7","A collection must have at least one PREMIS representation (premis:Representation)."
"x7","9","A seed must have at least one version."
"x8","10","A collection must have at least one version."
"x9","11","A harvest must have used at least one seed version."
"1","30","Each collection (version) needs to have a title and a description"
"2","30","The description of each collection should at least have 200 characters"
"3","31","Each collection (version) must indicate which months covered in the collection consists of how many social media posts."
"4","32","Each collection (version) must indicate the time of the earliest content and the time of the most recent content."
"5","33","Each collection (version) must indicate the time of the first and time of the last harvest."
"6","33","Each collection must indicate when its harvests were executed."
"7","33","Each collection version must indicate the date(s) when it was harvested."
"8","34","Each collection must have information about its different version."
"9","35","Each collection (version) must have information about which seed versions were used to create it."
"10","36","Each collection (version) must have information about the top n named entities identified in the collection."
"11","37","Each collection (version) must have information about the top n named entities at least for the the types 'person' and 'location'."
"12","38","Each collection (version) must have information about the top n hashtags identified in the collection."
"13","39","Each collection (version) must have information about its license."
"14","40","Each collection (version) must have information in which metadata formats it is available."
"yz","xx","A collection (version) must have at least two "
